University,Lat,Lon
Universität Hamburg,53.566628,9.984695
Technische Universität Hamburg,53.46100675,9.96922675039767
Hochschule für Angewandte Wissenschaften Hamburg,53.4933816,10.2005624400174
Helmut-Schmidt-Universität,53.5693635,10.1095971
Hochschule für Musik und Theater Hamburg,53.57017255,9.99874529704647
HafenCity Universität Hamburg,53.54021475,10.0048204438158
Hochschule für Bildende Künste Hamburg,53.5672702,10.0315783825404
Bucerius Law School,53.5593362,9.98347676497981
Akademie Mode and Design GmbH,53.567173,10.000464
Europäische Fernhochschule Hamburg,53.603583,10.151324
EBC Hochschule,53.5576331,9.9919131
Kühne Logistics University,53.5405721,9.99437190714414
HFH Hamburger Fern-Hochschule,53.582709,10.050301
Hamburg School of Business Administration,53.54936275,9.99037131401236
Medical School Hamburg,53.5412961,9.9929659
Evangelische Hochschule für Soziale Arbeit und Diakonie,53.5548816,10.0710984
Brand Academy - Hochschule für Design und Kommunikation,53.546106,9.930807
ISS International Business School of Service Management,53.580928,10.008827
